order_id,store_id,partner_id,category,order_time,promised_time,delivered_time,delivered_time_dt,delivery_minutes,vehicle_type,at_risk,order_hour,city,locality,is_on_time,predicted_at_risk
O00940,S008,P008,Snacks,2026-06-17 18:37:00,2026-06-17 18:47:00,2026-06-17 18:47:56,2026-06-17 18:47:56,10.933333333333334,bike,1,18,Mumbai,Worli,0,
O01577,S003,P059,Snacks,2026-06-14 18:24:00,2026-06-14 18:34:00,2026-06-14 18:33:15,2026-06-14 18:33:15,9.25,bicycle,0,18,Mumbai,Powai,1,
O00502,S006,P007,Fruits & Vegetables,2026-06-30 16:51:00,2026-06-30 17:01:00,2026-06-30 17:02:50,2026-06-30 17:02:50,11.833333333333334,bike,1,16,Mumbai,Chembur,0,
O01321,S010,P031,Fruits & Vegetables,2026-06-24 11:50:00,2026-06-24 12:00:00,2026-06-24 11:57:29,2026-06-24 11:57:29,7.483333333333333,bike,0,11,Mumbai,Goregaon,1,0.0
O00548,S020,P005,Grocery,2026-06-23 20:22:00,2026-06-23 20:32:00,2026-06-23 20:32:32,2026-06-23 20:32:32,10.533333333333331,bike,1,20,Bengaluru,Malleshwaram,0,
O00591,S004,P048,Personal Care,2026-06-15 19:10:00,2026-06-15 19:20:00,2026-06-15 19:27:07,2026-06-15 19:27:07,17.116666666666667,bike,1,19,Mumbai,Dadar,0,
O01559,S013,P006,Household,2026-06-30 12:49:00,2026-06-30 12:59:00,2026-06-30 12:54:15,2026-06-30 12:54:15,5.25,bike,0,12,Bengaluru,Whitefield,1,
O01282,S017,P051,Grocery,2026-06-06 17:44:00,2026-06-06 17:54:00,2026-06-06 17:53:31,2026-06-06 17:53:31,9.516666666666667,bike,0,17,Bengaluru,JP Nagar,1,
O00087,S010,P056,Fruits & Vegetables,2026-06-10 16:03:00,2026-06-10 16:13:00,2026-06-10 16:09:24,2026-06-10 16:09:24,6.4,bike,0,16,Mumbai,Goregaon,1,
O00990,S002,P036,Snacks,2026-06-30 05:06:00,2026-06-30 05:16:00,2026-06-30 05:11:37,2026-06-30 05:11:37,5.616666666666666,bike,0,5,Mumbai,Bandra,1,
O01135,S011,P059,Bakery,2026-06-15 14:02:00,2026-06-15 14:12:00,2026-06-15 14:10:57,2026-06-15 14:10:57,8.95,bicycle,0,14,Bengaluru,Koramangala,1,
