city,order_hour,total_orders,on_time_orders,on_time_pct
Bengaluru,0,8,4,50
Bengaluru,1,6,3,50
Bengaluru,2,8,5,62.5
Bengaluru,3,9,6,66.7
Bengaluru,4,6,4,66.7
Bengaluru,5,17,13,76.5
Bengaluru,6,38,22,57.9
Bengaluru,7,35,22,62.9
Bengaluru,8,45,27,60
Bengaluru,9,45,26,57.8
Bengaluru,10,30,17,56.7
Bengaluru,11,44,23,52.3
Bengaluru,12,53,30,56.6
Bengaluru,13,53,33,62.3
Bengaluru,14,40,21,52.5
Bengaluru,15,32,18,56.3
Bengaluru,16,45,28,62.2
Bengaluru,17,50,31,62
Bengaluru,18,97,61,62.9
Bengaluru,19,95,65,68.4
Bengaluru,20,63,39,61.9
Bengaluru,21,45,28,62.2
Bengaluru,22,27,14,51.9
Bengaluru,23,9,5,55.6
Mumbai,0,3,2,66.7
Mumbai,1,11,10,90.9
Mumbai,2,8,7,87.5
Mumbai,3,6,3,50
Mumbai,4,8,7,87.5
Mumbai,5,18,12,66.7
Mumbai,6,25,15,60
Mumbai,7,48,32,66.7
Mumbai,8,47,30,63.8
Mumbai,9,49,40,81.6
Mumbai,10,33,25,75.8
Mumbai,11,47,40,85.1
Mumbai,12,47,38,80.9
Mumbai,13,58,36,62.1
Mumbai,14,38,26,68.4
Mumbai,15,45,35,77.8
Mumbai,16,53,38,71.7
Mumbai,17,59,43,72.9
Mumbai,18,72,53,73.6
Mumbai,19,84,5,6
Mumbai,20,67,4,6
Mumbai,21,53,2,3.8
Mumbai,22,31,0,0
Mumbai,23,17,15,88.2
